iter	Passed	Remaining
0	29	2932
1	48	2360
2	62	2024
3	79	1908
4	89	1696
5	99	1564
6	110	1464
7	119	1377
8	129	1308
9	138	1248
10	148	1197
11	157	1153
12	166	1115
13	176	1082
14	187	1059
15	196	1031
16	205	1005
17	217	990
18	226	965
19	238	953
20	250	940
21	262	929
22	272	912
23	284	901
24	295	885
25	305	870
26	315	853
27	325	837
28	337	825
29	349	816
30	362	806
31	377	802
32	389	791
33	399	774
34	409	760
35	419	745
36	430	732
37	441	719
38	450	704
39	462	693
40	472	680
41	483	667
42	494	655
43	504	642
44	515	629
45	525	616
46	534	603
47	545	590
48	556	578
49	568	568
50	581	558
51	597	551
52	624	554
53	640	545
54	651	533
55	661	519
56	673	507
57	684	495
58	694	482
59	705	470
60	715	457
61	726	445
62	736	432
63	747	420
64	758	408
65	770	396
66	781	384
67	792	373
68	803	360
69	812	348
70	823	336
71	834	324
72	847	313
73	859	302
74	872	290
75	886	279
76	898	268
77	909	256
78	923	245
79	935	233
80	946	221
81	957	210
82	969	198
83	982	187
84	993	175
85	1004	163
86	1016	151
87	1029	140
88	1041	128
89	1057	117
90	1070	105
91	1080	93
92	1091	82
93	1100	70
94	1110	58
95	1119	46
96	1130	34
97	1140	23
98	1150	11
99	1160	0
